This will likely be possible in ~10-20 years.,This will likely be possible in ~10-20 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,"Gene therapy delivery, as an enabler. New vectors, bigger payloads, and perhaps better regulation of the payloads."
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible before the end of this century.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,"basic research into the theory of aging with emphasis on quantitative paradigms (ie Uri Alon, Peter Fedichev, Jan Gruber)"
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,Running large clinical studies of drugs with potential longevity benefit.
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,"Longevity drugs are only ethical if everyone, everywhere has equal access to them.","Delaying menopause. Delaying menopause would likely mean longer lifespans + more years of healthy, productive life for women."
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,It's impossible to safely delay biological aging by 30 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,"Longevity drugs are only ethical if everyone, everywhere has equal access to them.",We already know how to increase healthy longevity by a decade; the implementation will require a combination of research and public policies.
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,"There is no one area (""silver bullet""), we have learned there is at least 16 tracks which need to be followed through on to, we hope, get enough information to make consistent, predictable progress."
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,Partial epigenetic reprogramming
This will likely be possible in ~20-40 years.,This will likely be possible before the end of this century.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,Studying aging as a programmatic process
This will likely be possible in ~20-40 years.,This will likely be possible before the end of this century.,No ceiling.,"This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,understanding specific molecular mechanisms of meiosis cell cycle and proteolysis
This will likely be possible in ~20-40 years.,This will likely be possible before the end of this century.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,Delaying menopause and preventing fertility decline
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~10-20 years.,"Maybe, but the ceiling is far higher than the record ~120 years old.",It could be done in this decade with less than $1B. Funding *direction* is more important than funding *amount*.,There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,"Environment & Aging -- temperature, air quality, green/blue space, urban design all impact biological aging at the population level and represent opportunities for policy to promote healthy aging in potentially dramatic ways."
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,No ceiling.,"This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,"they're all underfunded, especially rejuvenation subareas, but if you insist on just one that's most underfunded relative to potential returns: mitochondria transplantation"
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible before the end of this century.,"Maybe, but the ceiling is far higher than the record ~120 years old.","This will likely require more than $1B in funding, and a 10-20 year timeline.",Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,Antiviral/immune system control
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,This will likely be possible in ~20-40 years.,No ceiling.,"This will likely require more than $1B in funding, and a 10-20 year timeline.",There isn't enough evidence yet for either A or B. We'll continue to need a combination of therapeutics & interventions in the coming decade.,No. Saving lives is a moral imperative.,Germline Rejuvenation!
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,,,,Most of human aging will need to be treated via tissue/cell/organ replacement (e.g. replacing the extracellular matrix to improve brain aging).,Some spill-over effects of longevity (e.g. environmental impacts from larger populations) may prove difficult to solve. But they will be worth solving.,ECM
This is possible today with low-tech solutions like exercise and/or existing therapeutics.,,,,Most of human aging will be managed via intracellular/epigenetic therapeutics.,No. Saving lives is a moral imperative.,
