Year,RGDP,GDP,wages,labor_force,employment,revenue,social_security,medicare,medicaid_and_related,other_mandatory,discretionary,total_non_interest_spending,interest_spending,total_spending,primary_deficit,deficit,debt,medicare_offsetting
2145,126.4770365,1900.110295,775.3239703,215.2244468,208.7128242,526664.0835,146898.7445,143293.3324,88915.38392,17895.114,104314.1483,480820.2986,1303943.489,1038896.214,-12443.44605,-618296.1347,20689616,-90313.84045
2146,128.323262,1966.620483,801.9993353,215.6222058,209.1234092,547269.6784,152420.0209,148780.6692,92461.2924,18359.69192,108072.5322,498423.5432,1384601.068,1082927.473,-12681.79717,-648778.1759,21846564.67,-94619.81954
2147,130.1964376,2035.458748,829.5924781,216.0207,209.5348019,568681.4618,158148.8178,154478.1404,96148.61023,18836.33083,111966.3287,516671.2576,1470247.855,1128824.898,-12924.71384,-680762.9839,23068209.08,-99131.0989
2148,132.0969564,2106.706582,858.1349752,216.4199306,209.9470039,590930.9756,164092.9349,160393.793,99982.97676,19325.34383,116000.4166,535587.0366,1561192.466,1176667.58,-13172.28352,-714324.645,24358166.99,-103857.4668
2149,134.0252178,2180.448327,887.6594896,216.819899,210.3600167,614050.9959,170260.4652,166535.9821,103970.2562,19827.05218,120179.8506,555195.3384,1657762.605,1226537.967,-13424.59534,-749540.8983,25720258.43,-108809.1783
2150,135.9816266,2256.771279,918.199808,217.2206066,210.7738421,638075.581,176659.8057,172913.383,108116.5467,20341.78546,124509.8674,575521.5171,1760306.251,1278521.996,-13681.74013,-786493.3152,27158517.06,-113996.9772
2151,137.9665937,2335.765789,949.7908796,217.6220548,211.1884815,663040.1216,183299.6693,179535.0027,112428.1896,20869.88181,128995.8924,596591.8547,1869192.903,1332709.251,-13943.81046,-825267.4888,28677202.09,-119432.1198
2152,139.980536,2417.525369,982.4688561,218.0242449,211.6039367,688981.3934,190189.096,186410.1936,116911.779,21411.68816,133643.5466,618433.5954,1984814.918,1389193.11,-14210.90068,-865953.2318,30280810.91,-125126.3989
2153,142.0238765,2502.146807,1016.271133,218.4271783,212.0202091,715937.6107,197337.466,193548.6661,121574.172,21967.56043,138458.6532,641074.981,2107588.925,1448070.908,-14483.10695,-908644.7846,31974092.41,-131092.1695
2154,144.0970442,2589.730277,1051.236392,218.8308563,212.4373005,743948.483,204754.5117,200960.5023,126422.4994,22537.86379,143447.2457,664545.2872,2237957.32,1509444.109,-14760.52727,-953441.0339,33762061,-137342.3759
2155,146.2004747,2680.37946,1087.404646,219.2352804,212.8552123,773055.2733,212450.3314,208656.1705,131464.176,23122.97289,148615.5745,688874.8616,2376389.868,1573418.474,-15043.2615,-1000445.741,35650011.53,-143890.5793
2156,148.3346096,2774.201666,1124.817285,219.6404519,213.2739463,803300.8593,220435.4031,216646.54,136706.9126,23723.27209,153970.1155,714095.1625,2523385.39,1640104.247,-15331.41143,-1049767.784,37643534.91,-150750.9876
2157,150.4998971,2871.307962,1163.517123,220.0463722,213.693504,834729.7958,228720.5985,224942.8962,142158.7273,24339.15576,159517.5777,740238.8003,2679473.563,1709616.345,-15625.08081,-1101521.407,39748534.72,-157938.4862
2158,152.696792,2971.813302,1203.548445,220.4530427,214.1138871,867388.3814,237317.1978,233556.9566,147827.9581,24971.02849,165264.9122,767339.5793,2845216.828,1782074.556,-15924.37535,-1155826.487,41971244.61,-165468.67
2159,154.9257558,3075.836663,1244.957063,220.8604648,214.5350971,901324.7255,246236.9054,242500.8876,153723.2755,25619.30536,171219.32,795432.541,3021212.416,1857603.744,-16229.4028,-1212808.81,44318246.88,-173357.8776
2160,157.1872564,3183.501188,1287.790363,221.2686398,214.9571358,936588.8203,255491.8655,251787.3213,159853.6957,26284.41225,177388.262,824554.0102,3208094.503,1936334.065,-16540.27298,-1272600.367,46796491.84,-181623.2264
2161,159.4817688,3294.934331,1332.097362,221.6775692,215.3800048,973232.6136,265094.6788,261429.3737,166228.5946,26966.7861,183779.4678,854741.6414,3406536.489,2018401.192,-16857.0978,-1335339.651,49413318.51,-190282.6501
2162,161.809775,3410.268004,1377.928762,222.0872543,215.8037056,1011310.086,275058.4195,271440.663,172857.7217,27666.87515,190400.9454,886034.4678,3617253.433,2103946.548,-17179.99132,-1401171.986,52176476.27,-199354.9375
2163,164.1717638,3529.63874,1425.337012,222.4976966,216.2282399,1050877.329,285396.6533,281835.329,179751.2156,28385.13933,197260.9913,918472.9514,3841004.621,2193117.55,-17509.06978,-1470249.859,55094147.85,-208859.7729
2164,166.5682313,3653.187849,1474.376364,222.9088974,216.6536094,1091992.63,296123.4557,292628.0528,186919.6192,29122.05049,204368.201,952099.0358,4078596.309,2286067.863,-17844.45166,-1542733.277,58174973.57,-218817.7795
2165,168.9996808,3781.061588,1525.102937,223.3208582,217.0798156,1134716.557,307253.4314,303834.0778,194373.8958,29878.09271,211731.4798,986956.2001,4330884.623,2382957.664,-18186.2577,-1618790.132,61428076.87,-229250.5634
2166,171.466623,3913.411334,1577.57478,223.7335803,217.5068604,1179112.047,318801.7338,315469.2312,202125.4458,30653.76266,219360.0536,1023089.515,4598778.648,2483953.919,-18534.61094,-1698596.595,64863091.41,-240180.7611
2167,173.9695759,4050.393761,1631.85194,224.1470652,217.9347452,1225244.498,330784.0861,327549.9461,210186.1244,31449.56991,227263.481,1060545.702,4883243.7,2589230.671,-18889.63681,-1782337.522,68490189.52,-251632.0882
2168,176.5090652,4192.17103,1687.99653,224.5613142,218.3634717,1273181.869,343216.8021,340093.2852,218568.2595,32266.03724,235451.6646,1099373.192,5185304.808,2698969.34,-19251.46311,-1870206.882,72320112.39,-263629.3912
2169,179.0856243,4338.910976,1746.072799,224.9763289,218.7930417,1322994.778,356116.8091,353116.9643,227284.6706,33103.701,243934.8643,1139622.19,5506050.405,2813359.034,-19620.2201,-1962408.208,76364201.84,-276198.7011
2170,181.6997942,4490.787308,1806.147208,225.3921105,219.2234567,1374756.603,369501.6706,366639.3778,236348.6886,33963.11149,252723.7091,1181344.738,5846636.251,2932596.875,-19996.04054,-2059155.065,80634433.9,-289367.2899
2171,184.3521239,4647.979817,1868.288503,225.8086605,219.6547184,1428543.597,383389.61,380679.6245,245774.1759,34844.83328,261829.2114,1224594.784,6208289.597,3056888.341,-20379.05973,-2160671.549,85143454.31,-303163.7301
2172,187.0431706,4810.674588,1932.567798,226.2259804,220.0868286,1484434.992,397799.5358,395257.5344,255575.5477,35749.44558,271262.7802,1269428.252,6592313.609,3186447.62,-20769.41555,-2267192.802,89904615.95,-317617.9563
2173,189.7734993,4979.064217,1999.05865,226.6440715,220.5197887,1542513.124,412751.0673,410393.6971,265767.7941,36677.54267,281036.2354,1315903.112,7000092.06,3321497.974,-21167.24854,-2378965.56,94932018.37,-332761.3305
2174,192.5436835,5153.348044,2067.83715,227.0629353,220.9536007,1602863.548,428264.5609,426109.4906,276366.503,37629.73423,291161.8232,1364079.456,7433094.322,3462272.132,-21572.70193,-2496248.723,100240549.6,-348626.7097
2175,195.354305,5333.732385,2138.982004,227.4825732,221.388266,1665575.166,444361.1384,442427.1114,287387.8841,38606.6458,301652.2305,1414019.578,7892880.653,3609012.682,-21985.92167,-2619313.954,105845930.1,-365248.5178
2176,198.205954,5520.430779,2212.574628,227.9029866,221.8237864,1730740.36,461062.7153,459369.6063,298848.7932,39608.91912,312520.6017,1465788.05,8381107.828,3761972.499,-22407.05654,-2748446.309,111764759.5,-382662.8196
2177,201.0992295,5713.664239,2288.699239,228.324177,222.2601636,1798455.125,478392.0309,476960.9044,310766.7586,40637.21262,323780.5546,1519451.811,8899535.102,3921415.17,-22836.25814,-2883944.898,118014565.7,-400907.3998
2178,204.034739,5913.661513,2367.442952,228.7461458,222.6973992,1868819.213,496372.679,495225.8512,323160.0075,41692.20181,335446.1976,1575080.248,9450030.551,4087615.457,-23273.68099,-3026123.576,124613856.6,-420021.8441
2179,207.013099,6120.659357,2448.895876,229.1688945,223.1354949,1941936.277,515029.1405,514190.2438,336047.494,42774.57974,347532.1477,1632745.29,10034577.81,4260859.766,-23719.48256,-3175311.673,131582175.1,-440047.6261
2180,210.0349352,6334.902815,2533.151225,229.5924244,223.5744525,2017914.027,534386.8162,533880.8671,349448.9281,43885.05747,360053.5481,1692521.499,10655283.2,4441446.642,-24173.82336,-3331854.753,138940157.1,-461028.1964
2181,213.100882,6556.645508,2620.305416,230.0167371,224.0142737,2096864.387,554472.0616,554325.5315,363384.8058,45024.36448,373026.0881,1754486.166,11314383.35,4629687.283,-24636.86694,-3496115.418,146709592.3,-483009.0773
2182,216.2115835,6786.149934,2710.458186,230.441834,224.45496,2178903.659,575312.2228,575553.1128,377876.4405,46193.24922,386466.0218,1818719.413,12014253.22,4825906.077,-25108.78,-3668474.144,154913488.7,-506037.9616
2183,219.3676928,7023.687778,2803.712702,230.8677165,224.8965133,2264152.697,596935.6739,597593.5922,392945.9955,47392.47957,400390.1893,1885304.295,12757414.71,5030441.16,-25589.73244,-3849330.167,163576141.3,-530164.816
2184,222.5698729,7269.540238,2900.175681,231.294386,225.3389352,2352737.08,619371.8551,620478.0993,408616.5182,48622.84333,414816.0372,1954326.906,13546545.68,5243644.998,-26079.8974,-4039102.405,172723203.2,-555441.9894
2185,225.8187962,7523.998353,2999.957512,231.7218441,225.7822275,2444787.305,642651.3136,644238.9556,424911.9747,49885.14876,429761.6408,2025876.494,14384489.64,5465884.997,-26579.45136,-4238230.426,182381762.3,-581924.3268
2186,229.1151451,7787.363349,3103.17238,232.1500922,226.2263918,2540438.97,666805.7443,668909.7204,441857.2873,51180.22511,445245.7267,2100045.574,15274266.02,5697544.134,-27088.57414,-4447175.473,192580421.3,-609669.2878
2187,232.4596119,8059.946997,3209.938402,232.5791317,226.6714299,2639832.982,691868.0337,694525.238,459478.3719,52508.92314,461287.696,2176930.048,16219080.98,5939021.618,-27607.44905,-4666421.524,203349382,-638737.0717
2188,235.8528989,8342.07198,3320.377757,233.0089642,227.1173434,2743115.759,717872.304,721121.6874,477802.178,53872.11571,477907.649,2256629.329,17222339.04,6190733.578,-28136.26287,-4896476.421,214720535.3,-669190.7482
2189,239.2957187,8634.072277,3434.616826,233.439591,227.5641342,2850439.448,744853.9602,748736.6327,496856.7299,55270.69834,495126.4102,2339246.469,18287655.28,6453113.778,-28675.206,-5137873.039,226727555.5,-701096.3935
2190,242.7887946,8936.293557,3552.786341,233.8710137,228.011804,2961962.148,772849.738,777409.0767,516671.1693,56705.58981,512965.5543,2424888.293,19418868.41,6726614.368,-29224.47244,-5391170.527,239405999.8,-734523.2348
2191,246.3328599,9249.093588,3675.021531,234.3032337,228.4603544,3077848.144,801897.7537,807179.5156,537275.8003,58177.73271,531447.4334,2513665.539,20620054.61,7011706.66,-29784.25995,-5656955.599,252793413.7,-769543.7994
2192,249.9286591,9572.842661,3801.462276,234.7362525,228.9097871,3198268.15,832037.5563,838089.9965,558702.1355,59688.09416,550595.2049,2605692.995,21895542.16,7308881.942,-30354.77005,-5935843.892,266929442.3,-806234.0729
2193,253.5769474,9907.92403,3932.253272,235.1700715,229.3601041,3323399.557,863310.1813,870184.1767,580982.9439,61237.66634,570432.8605,2701089.656,23249927.1,7618652.324,-30936.20812,-6228481.397,281855947.6,-844673.6635
2194,257.2784908,10254.73436,4067.544189,235.6046923,229.8113069,3453426.698,895758.2064,903507.3854,604152.3018,62827.46722,590985.2564,2799978.871,24688089.76,7941551.622,-31528.7835,-6535545.951,297617132.4,-884945.9752
2195,261.0340669,10613.68421,4207.489851,236.0401164,230.2633973,3588541.116,929425.8098,938106.6873,628245.6439,64458.54117,612278.1443,2902488.504,26215212.34,8278136.273,-32132.70951,-6857748.808,314259671.6,-927138.3883
2196,264.8444643,10985.1985,4352.250405,236.4763451,230.7163771,3728941.851,964358.83,974030.9499,653299.8186,66131.95969,634338.2037,3008751.104,27836797.62,8628986.302,-32748.20358,-7195836.288,331832849.8,-971342.4492
2197,268.7104833,11369.71703,4501.991511,236.91338,231.170248,3874835.729,1000604.829,1011330.912,679353.1432,67848.8221,657193.0755,3118904.069,29558688.74,8994706.313,-33375.48728,-7550591.503,350388707.7,-1017654.069
2198,272.6329358,11767.69498,4656.884525,237.3512227,231.6250117,4026437.666,1038213.154,1050059.254,706445.4636,69610.25624,680871.3964,3233089.828,31387090.27,9375926.538,-34014.78644,-7922836.175,369982195.9,-1066173.733
2199,276.6126456,12179.60349,4817.106702,237.7898745,232.0806701,4183970.989,1077235.011,1090270.677,734618.2145,71417.41927,705402.8346,3351456.026,33328590.6,9773303.916,-34666.33122,-8313432.534,390671338.2,-1117006.714
2200,280.6504485,12605.93017,4982.841395,238.229337,232.5372249,4347667.763,1117723.528,1132021.973,763914.4829,73271.49834,730818.1277,3474155.713,35390185.65,10187523.23,-35330.35618,-8723285.319,412517402.6,-1170263.309
2201,284.7471925,13047.1797,5154.278263,238.6696116,232.9946778,4517769.13,1159733.83,1175372.111,794379.0743,75173.71145,757149.1204,3601347.54,37579304.06,10619298.3,-36007.10037,-9153343.875,435585083.5,-1226059.068
2202,288.903738,13503.87444,5331.613492,239.1107,233.4530306,4694525.669,1203323.113,1220382.318,826058.5809,77125.30823,784428.8049,3733195.97,39903834.01,11069373.17,-36696.80743,-9604604.347,459942692.7,-1284515.055
2203,293.1209579,13976.55501,5515.050019,239.5526035,233.9122851,4878197.761,1248550.726,1267116.166,859001.4531,79127.57072,812691.3621,3869871.484,42372151.6,11538523.44,-37399.72566,-10078111.99,485662362.2,-1345758.105
2204,297.3997378,14465.78097,5704.797761,239.9953237,234.3724431,5069055.976,1295478.246,1315639.66,893258.0733,81181.81427,841972.2044,4011550.806,44993151.05,12027557.58,-38116.10811,-10574963.59,512820257.4,-1409921.097
2205,301.7409765,14972.13148,5901.073858,240.4388621,234.8335063,5267381.469,1344169.564,1366021.333,928880.8332,83289.38837,872308.02,4158417.13,47776276.75,12537318.33,-38846.21269,-11096310.01,541496802.9,-1477143.249
2206,306.1455857,15496.20593,6104.102921,240.8832203,235.2954765,5473466.395,1394690.974,1418332.344,965924.2139,85451.67753,903736.8191,4310660.357,50731557.3,13068684.13,-39590.30224,-11643358.85,571776920.4,-1547570.417
2207,310.6144903,16038.62474,6314.117289,241.3283996,235.7583555,5687614.34,1447111.261,1472646.575,1004444.869,87670.10223,936297.9813,4468477.339,53869641.6,13622570.66,-40348.64464,-12217377.22,603750280.7,-1621355.407
2208,315.1486289,16600.03001,6531.357294,241.7744017,236.2221451,5910140.767,1501501.796,1529040.739,1044501.712,89946.11981,970032.3051,4632072.136,57201837.3,14199932.42,-41121.5129,-12819694.75,637511568.7,-1698658.315
2209,319.7489538,17181.08634,6756.071538,242.221228,236.6868471,6141373.483,1557936.632,1587594.485,1086156.006,92281.22545,1004982.059,4801656.279,60740151.46,14801764.35,-41909.18526,-13451706.56,673160763.9,-1779646.867
2210,324.4164312,17782.48157,6988.517176,242.6688802,237.1524632,6381653.118,1616492.604,1648390.514,1129471.455,94676.95314,1041191.034,4977449.044,64497333.9,15429103.55,-42711.94529,-14114876.61,710803436.9,-1864496.787
2211,329.1520411,18404.92764,7228.960209,243.1173596,237.6189953,6631333.632,1677249.437,1711514.692,1174514.306,97134.8767,1078704.599,5159677.733,68486923.06,16083031.11,-43530.08198,-14810740.98,750551061.4,-1953392.179
2212,333.9567783,19049.16139,7477.67579,243.5666679,238.0864452,6890782.831,1740289.852,1777056.175,1221353.447,99656.6108,1117569.758,5348577.971,72723294.86,16764673.9,-44363.88989,-15540911.51,792521345,-2046525.92
2213,338.8316518,19715.94547,7734.948542,244.0168066,238.5548147,7160382.911,1805699.678,1845107.531,1270060.514,102243.8121,1157835.209,5544394.009,77221714.43,17475206.58,-45213.66917,-16307079.5,836838577.1,-2144100.088
2214,343.7776853,20406.06921,8001.072877,244.4677771,239.0241055,7440531.025,1873567.971,1915764.876,1320709.998,104898.1801,1199551.402,5747379.04,81998391.18,18215853.57,-46079.72577,-17111019.62,883633997.4,-2246326.392
2215,348.7959177,21120.34958,8276.353338,244.9195811,239.4943196,7731639.86,1943987.134,1989128.003,1373379.363,107621.4585,1242770.608,5957795.528,87070537.16,18987891.2,-46962.37146,-17954594.04,933046184.5,-2353426.637
2216,353.8874028,21859.63215,8561.104945,245.3722201,239.9654587,8034138.253,2017053.043,2065300.53,1428149.16,110415.4365,1287546.98,6175915.545,92456429.11,19792649.9,-47861.92402,-18839756.74,985221466,-2465633.203
2217,359.0532099,22624.79206,8855.653557,245.8256956,240.4375246,8348471.817,2092865.178,2144390.04,1485103.154,113281.9493,1333936.62,6402021.122,98175474.31,20631516.47,-48778.70728,-19768558.02,1040314352,-2583189.548
2218,364.294424,23416.73512,9160.336245,246.2800092,240.9105192,8675103.599,2171526.757,2226508.239,1544328.449,116222.8802,1381997.655,6636404.62,104248280.5,21505936.5,-49713.05129,-20743149.27,1098487994,-2706350.739
2219,369.6121457,24236.39882,9475.501676,246.7351624,241.3844442,9014514.764,2253144.878,2311771.107,1605915.624,119240.161,1431790.303,6879369.099,110696730.1,22417416.83,-50665.29244,-21765787.93,1159914664,-2835384.004
2220,375.0074919,25084.75349,9801.510513,247.1911568,241.8593016,9367205.303,2337830.664,2400299.068,1669958.87,122335.7739,1483376.955,7131228.716,117544059.3,23367528.2,-51635.77352,-22838842.75,1224776270,-2970569.311
2221,380.4815957,25962.80339,10138.73583,247.647994,242.3350931,9733694.767,2425699.416,2492217.157,1736556.135,125511.7526,1536822.246,7392309.13,124814941.3,24357907.88,-52624.84393,-23964799.24,1293264892,-3112199.976
2222,386.0356068,26871.58796,10487.56353,248.1056754,242.8118206,10114523.04,2516870.767,2587655.197,1805809.27,128770.1833,1592193.143,7662947.923,132535575.8,25390262.55,-53632.85974,-25146265.46,1365583348,-3260583.302
2223,391.6706915,27812.18301,10848.39281,248.5642026,243.289486,10510251.11,2611468.847,2686747.982,1877824.192,132113.2067,1649559.024,7943495.035,140733782.8,26466371.23,-54660.18384,-26385978.05,1441945801,-3416041.241
2224,397.3880333,28785.70203,11221.63657,249.0235773,243.768091,10921461.94,2709622.452,2789635.47,1952711.038,135543.0188,1708991.768,8234313.218,149439103.5,27588088.35,-55707.18607,-27686808.55,1522578389,-3578911.097
2225,403.188833,29793.29745,11607.72195,249.4838009,244.2476375,11348761.29,2811465.219,2896462.975,2030584.341,139061.8728,1770565.843,8535778.504,158682906.2,28757346.89,-56774.24338,-29051770.08,1607719894,-3749546.254
2226,409.0743088,30836.16207,12007.09078,249.9448751,244.7281275,11792778.62,2917135.807,3007381.379,2111563.199,142672.0804,1834358.399,8848280.694,168498499.5,29976161.81,-57861.7399,-30484024.31,1697622451,-3928316.945
